appId,arsiv_dosya_no,muracaat_tarihi,muracaat_tipi,region,description,status
35,48603,6/3/2012,,2,Vestibulum sed magna at nunc commodo placerat.,1
36,62719,15/2/2011,,1,Fusce consequat. Nulla nisl.,0
37,93385,18/11/2013,,1,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0
38,51710,1/5/2023,,2,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1
39,88454,18/6/2012,,3,Nulla justo.,1
40,65036,14/3/2023,,2,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",0
41,6168,2/4/2021,,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,1
42,50092,5/9/2020,,3,Etiam faucibus cursus urna.,1
43,59305,17/11/2021,,1,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1
44,122875,12/6/2022,,1,Aenean sit amet justo. Morbi ut odio.,1
45,107868,20/8/2011,,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1
46,74525,23/9/2015,,2,Duis at velit eu est congue elementum.,1
47,112127,10/12/2012,,1,Curabitur gravida nisi at nibh.,0
48,52102,20/7/2016,,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1
49,71605,26/11/2015,,1,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0
50,89332,8/9/2018,,1,Integer ac leo.,0
51,31249,6/4/2016,,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0
52,81230,22/9/2018,,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1
53,83806,17/2/2015,,2,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0
54,108392,13/9/2013,,2,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",0
55,108783,31/3/2015,,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1
56,104868,6/3/2015,,2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",0
57,37097,6/10/2012,,3,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0
58,44016,10/3/2018,,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0
59,98007,1/9/2018,,1,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0
60,20983,21/12/2015,,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,0
61,93763,30/5/2015,,1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1
62,41818,12/9/2021,,1,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0
63,52023,12/11/2020,,1,Etiam justo.,1
64,90570,13/9/2012,,1,Nulla mollis molestie lorem. Quisque ut erat.,1
65,86352,10/10/2013,,2,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0
66,101019,4/5/2022,,3,Pellentesque viverra pede ac diam.,1
67,41581,22/1/2011,,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",1
68,37039,30/7/2018,,2,Nulla justo.,1
69,115042,31/12/2019,,2,Curabitur gravida nisi at nibh.,1
70,98321,8/10/2022,,2,Aliquam erat volutpat. In congue. Etiam justo.,1
71,62086,14/9/2012,,3,Nullam sit amet turpis elementum ligula vehicula consequat.,1
72,105696,19/4/2012,,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",0
73,6243,9/7/2012,,3,Morbi non quam nec dui luctus rutrum.,0
74,119767,28/8/2018,,3,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,0
75,80696,30/5/2023,,1,Fusce consequat. Nulla nisl. Nunc nisl.,1
76,112510,13/9/2017,,3,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. ",1
77,77634,24/6/2021,,2,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,0
78,4827,10/4/2015,,2,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1
79,80579,8/5/2014,,3,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0
80,41583,14/4/2023,,1,In congue.,0
81,121968,11/7/2022,,2,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0
82,26160,6/7/2011,,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0
83,51667,15/2/2020,,1,Donec dapibus.,0
84,46264,18/5/2014,,3,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0
85,16860,10/2/2021,,2,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1
86,6245,29/4/2012,,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1
87,113716,22/6/2017,,2,Donec semper sapien a libero. Nam dui.,0
88,113958,31/10/2012,,1,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1
89,107648,31/5/2023,,1,Etiam faucibus cursus urna. Ut tellus.,0
90,91385,10/2/2020,,2,Proin eu mi. Nulla ac enim.,1
91,87610,19/3/2012,,1,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1
92,83142,25/10/2022,,2,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0
93,59457,15/4/2012,,2,Aliquam non mauris. Morbi non lectus.,1
94,78849,27/7/2015,,1,Pellentesque at nulla.,1
95,66336,2/2/2019,,1,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0
96,23222,30/1/2020,,2,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1
97,74627,25/10/2018,,3,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1
98,117732,8/4/2015,,2,Proin risus. Praesent lectus.,0
99,75564,12/2/2017,,3,Nulla mollis molestie lorem. Quisque ut erat.,1
100,54408,23/10/2020,,3,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0
101,76981,15/10/2021,,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0
102,110447,21/7/2017,,2,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,0
103,38088,21/9/2019,,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,0
104,6124,27/8/2011,,3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1
105,75625,14/8/2014,,1,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,0
106,59468,16/1/2016,,2,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,1
107,63976,10/9/2015,,3,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,1
108,94917,4/8/2013,,2,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0
109,28710,8/3/2011,,3,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1
110,51816,3/7/2020,,1,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1
111,94555,20/8/2022,,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0
112,98810,3/11/2012,,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0
113,24186,4/6/2011,,2,Donec ut mauris eget massa tempor convallis.,1
114,28006,27/1/2020,,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0
115,109721,23/10/2019,,2,Donec semper sapien a libero.,1
116,104662,28/7/2017,,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1
117,36981,26/4/2015,,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1
118,35781,23/8/2021,,3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1
119,41843,23/10/2017,,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,0
120,84308,14/8/2023,,1,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,0
121,95038,27/2/2019,,2,Morbi a ipsum.,1
122,62331,21/9/2015,,3,Duis bibendum.,0
123,84354,23/11/2016,,2,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,1
124,96024,9/9/2011,,3,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,1
125,9645,26/4/2016,,3,In quis justo. Maecenas rhoncus aliquam lacus.,1
126,93302,4/10/2021,,3,Proin at turpis a pede posuere nonummy. Integer non velit.,1
127,33277,21/6/2015,,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0
128,86370,11/6/2014,,3,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1
129,16227,20/11/2013,,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1
130,20078,28/12/2013,,2,Donec dapibus.,1
131,65938,27/1/2012,,1,Vestibulum sed magna at nunc commodo placerat.,0
132,41404,16/2/2013,,2,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1
133,45773,21/12/2018,,1,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1
134,89629,16/10/2016,,3,Quisque ut erat. Curabitur gravida nisi at nibh.,0
135,13701,22/11/2011,,3,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1
136,117093,24/8/2013,,2,Sed sagittis.,1
137,730,23/2/2018,,1,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1
138,117034,31/3/2022,,3,Etiam justo. Etiam pretium iaculis justo.,1
139,84264,14/8/2020,,1,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,1
140,40142,6/10/2013,,2,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0
141,47605,14/7/2013,,3,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0
142,107967,3/8/2011,,2,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1
143,14225,14/12/2015,,2,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,0
144,95137,9/1/2012,,1,Proin interdum mauris non ligula pellentesque ultrices.,1
145,67436,5/9/2022,,3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1
146,15902,31/7/2017,,1,Fusce consequat. Nulla nisl. Nunc nisl.,0
147,113949,3/7/2023,,3,Aliquam sit amet diam in magna bibendum imperdiet.,0
148,98015,2/5/2014,,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",0
149,68810,6/11/2015,,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0
150,58621,24/8/2021,,1,Proin interdum mauris non ligula pellentesque ultrices.,1
151,50734,6/10/2021,,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0
152,35733,5/4/2011,,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",0
153,111503,17/7/2022,,3,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",0
154,38434,10/1/2014,,2,Duis at velit eu est congue elementum.,1
155,30768,3/5/2022,,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,0
156,2705,9/8/2017,,2,Etiam vel augue.,1
157,97422,16/4/2020,,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0
158,31505,7/11/2018,,2,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0
159,48069,10/10/2015,,2,Donec semper sapien a libero.,0
160,53365,23/11/2014,,2,Proin interdum mauris non ligula pellentesque ultrices.,0
161,96390,20/12/2017,,2,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,1
162,30826,26/2/2016,,3,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,1
163,82273,6/9/2013,,1,Nulla tellus. In sagittis dui vel nisl.,0
164,118008,16/3/2021,,2,Cras non velit nec nisi vulputate nonummy.,0
165,63673,2/5/2018,,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",0
166,28981,13/5/2015,,2,Etiam faucibus cursus urna.,1
167,56090,10/6/2011,,3,Curabitur gravida nisi at nibh.,0
168,58152,31/10/2020,,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,0
169,64653,5/2/2019,,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",1
170,79053,23/7/2017,,2,Aenean sit amet justo. Morbi ut odio.,0
171,67785,4/7/2021,,1,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1
172,91224,30/11/2014,,2,Donec vitae nisi.,1
173,38220,20/10/2018,,3,Mauris lacinia sapien quis libero.,1
174,6972,7/4/2012,,3,Donec dapibus. Duis at velit eu est congue elementum.,1
175,28651,2/1/2012,,2,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0
176,41868,4/11/2014,,1,Suspendisse accumsan tortor quis turpis. Sed ante.,1
177,98302,29/8/2012,,2,Praesent blandit lacinia erat.,0
178,2283,28/11/2011,,3,Duis at velit eu est congue elementum.,0
179,64277,29/4/2014,,1,Maecenas pulvinar lobortis est.,1
180,122754,23/11/2012,,2,Vestibulum rutrum rutrum neque.,1
181,68945,6/1/2021,,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1
182,3782,21/10/2011,,1,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,1
183,104703,11/6/2022,,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0
184,100612,22/5/2023,,2,In hac habitasse platea dictumst.,1
185,16807,30/8/2013,,3,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,0
186,122277,31/5/2014,,1,Aliquam non mauris. Morbi non lectus.,1
187,77460,26/5/2011,,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,0
188,60463,8/1/2014,,3,Vivamus in felis eu sapien cursus vestibulum.,0
189,39271,10/9/2010,,1,Nam nulla.,1
190,35425,1/12/2016,,3,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0
191,70406,27/12/2013,,1,Phasellus in felis.,0
192,75195,24/8/2020,,1,Nullam porttitor lacus at turpis.,1
193,26705,7/11/2015,,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0
194,34020,27/3/2014,,2,Sed sagittis.,1
195,109704,14/5/2017,,3,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0
196,65260,27/6/2013,,1,Aenean auctor gravida sem.,0
197,99270,8/3/2014,,1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,1
198,82022,19/10/2020,,1,Duis bibendum.,1
199,44726,10/3/2016,,1,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1
200,45129,17/3/2017,,2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",0
201,69704,16/10/2020,,3,Vestibulum sed magna at nunc commodo placerat.,0
202,75900,25/1/2014,,3,Etiam justo.,1
203,30524,15/2/2021,,2,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1
204,31160,30/6/2022,,2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1
205,76168,1/8/2023,,3,Nulla nisl.,1
206,18817,30/7/2012,,2,Nam tristique tortor eu pede.,1
207,14147,17/1/2018,,3,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,0
208,41027,1/4/2017,,3,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0
209,65297,8/3/2020,,2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",0
210,18418,16/4/2012,,3,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices.",1
211,107000,6/12/2021,,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",0
212,49098,2/7/2014,,3,Aenean lectus. Pellentesque eget nunc.,1
213,120455,20/6/2020,,1,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,0
214,107788,1/8/2012,,3,In congue. Etiam justo. Etiam pretium iaculis justo.,0
215,36745,29/4/2020,,2,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",1
216,10218,21/11/2019,,3,Morbi ut odio.,1
217,103025,17/3/2023,,1,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,0
218,111947,5/5/2018,,1,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",1
219,39531,31/5/2013,,2,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1
220,37574,12/12/2012,,2,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,0
221,97782,18/5/2014,,3,Aliquam erat volutpat. In congue.,0
222,99522,15/8/2012,,2,Duis mattis egestas metus. Aenean fermentum.,0
223,55433,28/4/2023,,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0
224,99434,6/1/2013,,2,Aliquam erat volutpat.,0
225,28313,28/6/2022,,1,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1
226,76946,8/2/2021,,3,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0
227,114403,28/2/2013,,1,Phasellus sit amet erat.,1
228,123445,11/7/2017,,2,In sagittis dui vel nisl. Duis ac nibh.,0
229,118232,31/7/2023,,2,Vivamus in felis eu sapien cursus vestibulum.,1
230,54963,21/11/2021,,2,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0
231,87138,8/12/2013,,1,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,0
232,50820,22/10/2020,,3,Nunc nisl.,1
233,2756,3/4/2023,,2,Phasellus in felis. Donec semper sapien a libero. Nam dui.,0
234,70750,20/12/2013,,2,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1
235,44133,23/1/2017,,2,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0
236,93795,8/7/2022,,2,Donec ut mauris eget massa tempor convallis.,0
237,77667,7/4/2011,,2,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0
238,85052,23/9/2018,,3,Morbi vel lectus in quam fringilla rhoncus.,1
239,80915,3/9/2020,,2,Proin at turpis a pede posuere nonummy. Integer non velit.,1
240,15640,9/9/2013,,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1
241,85984,13/7/2014,,3,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1
242,80374,13/12/2016,,2,Vivamus in felis eu sapien cursus vestibulum.,0
243,49875,9/10/2012,,3,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1
244,25188,26/11/2022,,2,Aenean fermentum.,0
245,105895,16/4/2014,,3,Aenean sit amet justo. Morbi ut odio.,0
246,59392,26/9/2022,,2,Aliquam erat volutpat. In congue. Etiam justo.,1
247,50556,5/11/2019,,1,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,0
248,66743,26/7/2018,,3,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1
249,14288,15/2/2019,,3,Nam dui.,1
