sokakid,sokakkod,sokakname,district_id,durum
450723,,1042/3. (Sokak),50269,1
720315,,1042/4. (Sokak),50269,1
269341,,1043. (Sokak),50269,1
269342,,1044. (Sokak),50269,1
450724,,1044/1. (Sokak),50269,1
269343,,1044/2. (Sokak),50269,1
269344,,1044/3. (Sokak),50269,1
722087,,1044/4. (Sokak),50269,1
269345,,1045. (Sokak),50269,1
450725,,1046. (Sokak),50269,1
269346,,1046/1. (Sokak),50269,1
269347,,1046/2. (Sokak),50269,1
269348,,1047. (Sokak),50269,1
450726,,1047/1. (Sokak),50269,1
269349,,1048. (Sokak),50269,1
269350,,1049. (Sokak),50269,1
269351,,1050. (Sokak),50269,1
450727,,1050/1. (Sokak),50269,1
269352,,1051. (Sokak),50269,1
269353,,1051/1. (Sokak),50269,1
450728,,1051/2. (Sokak),50269,1
269354,,1052. (Sokak),50269,1
269355,,1052/1. (Sokak),50269,1
269356,,1052/2. (Sokak),50269,1
718440,,1052/3. (Sokak),50269,1
450729,,1053. (Sokak),50269,1
718439,,1053/1. (Sokak),50269,1
725634,,1053/2. (Sokak),50269,1
720314,,1053/3. (Sokak),50269,1
727318,,1053/4. (Sokak),50269,1
727316,,1053/5. (Sokak),50269,1
269357,,1054. (Sokak),50269,1
269359,,1055. (Sokak),50269,1
450730,,1056. (Sokak),50269,1
269358,,1056/1. (Sokak),50269,1
722086,,1056/2. (Sokak),50269,1
269360,,1057. (Sokak),50269,1
269361,,1058. (Sokak),50269,1
269362,,1059. (Sokak),50269,1
450731,,1060. (Sokak),50269,1
269363,,1061. (Sokak),50269,1
269364,,1061/1. (Sokak),50269,1
720312,,1061/2. (Sokak),50269,1
720311,,1061/3. (Sokak),50269,1
450732,,1062. (Sokak),50269,1
269365,,1063. (Sokak),50269,1
269366,,1063/1. (Sokak),50269,1
269367,,1063/2. (Sokak),50269,1
722084,,1063/3. (Sokak),50269,1
727314,,1063/4. (Sokak),50269,1
450733,,1064. (Sokak),50269,1
693697,,1064/1. (Sokak),50269,1
269308,,1065. (Sokak),50269,1
693699,,1065/1. (Sokak),50269,1
439415,,1066. (Sokak),50269,1
269309,,1067. (Sokak),50269,1
363016,,1068. (Sokak),50269,1
269310,,1068/1. (Sokak),50269,1
693327,,1068/2. (Sokak),50269,1
269311,,1069. (Sokak),50269,1
689822,,1069/1. (Sokak),50269,1
439416,,1070. (Sokak),50269,1
439417,,1071. (Sokak),50269,1
694032,,1072. (Sokak),50269,1
269312,,1073. (Sokak),50269,1
363017,,1074. (Sokak),50269,1
269313,,1075. (Sokak),50269,1
269314,,1076. (Sokak),50269,1
363018,,1077. (Sokak),50269,1
269315,,1077/1. (Sokak),50269,1
269316,,1078. (Sokak),50269,1
689827,,1078/1. (Sokak),50269,1
689825,,1079. (Sokak),50269,1
694033,,1080. (Sokak),50269,1
689831,,1081. (Sokak),50269,1
439418,,1082. (Sokak),50269,1
269317,,1082/1. (Sokak),50269,1
363019,,1082/2. (Sokak),50269,1
689828,,1082/3. (Sokak),50269,1
269318,,1083. (Sokak),50269,1
689826,,1083/1. (Sokak),50269,1
269319,,1083/2. (Sokak),50269,1
439419,,1084. (Sokak),50269,1
269320,,1084/1. (Sokak),50269,1
269321,,1084/2. (Sokak),50269,1
689833,,1084/3. (Sokak),50269,1
363020,,1085. (Sokak),50269,1
439420,,1085/1. (Sokak),50269,1
689832,,1085/2. (Sokak),50269,1
269646,,1086. (Sokak),50269,1
269647,,1086/1. (Sokak),50269,1
269648,,1086/2. (Sokak),50269,1
363021,,1086/3. (Sokak),50269,1
269649,,1087. (Sokak),50269,1
269650,,1088. (Sokak),50269,1
269651,,1089. (Sokak),50269,1
363022,,1090. (Sokak),50269,1
439422,,1091. (Sokak),50269,1
269652,,1092. (Sokak),50269,1
269653,,1093. (Sokak),50269,1
269654,,1093/1. (Sokak),50269,1
363023,,1093/2. (Sokak),50269,1
439423,,1094. (Sokak),50269,1
269655,,1095. (Sokak),50269,1
268962,,1096. (Sokak),50269,1
703319,,1096/1. (Sokak),50269,1
450707,,1097. (Sokak),50269,1
268963,,1097/1. (Sokak),50269,1
268964,,1097/2. (Sokak),50269,1
705163,,1097/3. (Sokak),50269,1
703880,,1097/4. (Sokak),50269,1
450708,,1098. (Sokak),50269,1
268965,,1099. (Sokak),50269,1
833231,,1966. (Sokak),50269,1
450709,,BAHAR (Cadde),50269,1
268969,,DOKTOR İLHAMİ KARAGÖZ (Cadde),50269,1
268977,,EYÜP SULTAN (Cadde),50269,1
268966,,GENÇLİK (Cadde),50269,1
953146,,İZMİT-İSTANBUL OTOBAN (Bulvar),50269,1
268967,,KAVAK (Cadde),50269,1
450710,,MEVLANA (Cadde),50269,1
268968,,NAMIK KEMAL (Cadde),50269,1
694030,,ŞEHİT MÜLAZIM KARATAY (Cadde),50269,1
689695,,ŞEHİT OKTAY KAYA (Cadde),50269,1
830655,,TERMİNAL (Cadde),50269,1
266633,,YENİ BAĞDAT (Cadde),50269,1
374354,,1654/8. (Sokak),50271,1
836051,,2049. (Sokak),50271,1
690258,,2151. (Sokak),50271,1
269023,,301. (Sokak),50271,1
269024,,301/1. (Sokak),50271,1
939332,,301/2. (Sokak),50271,1
446690,,302. (Sokak),50271,1
269025,,303. (Sokak),50271,1
269026,,304. (Sokak),50271,1
269027,,305. (Sokak),50271,1
446691,,305/1. (Sokak),50271,1
269028,,306. (Sokak),50271,1
690259,,306/1. (Sokak),50271,1
690260,,306/2. (Sokak),50271,1
690261,,306/3. (Sokak),50271,1
269029,,307. (Sokak),50271,1
446692,,307/1. (Sokak),50271,1
690262,,307/2. (Sokak),50271,1
269030,,308. (Sokak),50271,1
697105,,308/1. (Sokak),50271,1
269031,,309. (Sokak),50271,1
269032,,310. (Sokak),50271,1
446693,,311. (Sokak),50271,1
481074,,311/1. (Sokak),50271,1
269033,,312. (Sokak),50271,1
493421,,312/1. (Sokak),50271,1
493423,,312/2. (Sokak),50271,1
269034,,313. (Sokak),50271,1
269035,,313/1. (Sokak),50271,1
488968,,313/2. (Sokak),50271,1
446694,,314. (Sokak),50271,1
269036,,315. (Sokak),50271,1
269037,,316. (Sokak),50271,1
446695,,316/1. (Sokak),50271,1
489345,,316/2. (Sokak),50271,1
36710,,316/3. (Sokak),50271,1
269038,,317. (Sokak),50271,1
269039,,318. (Sokak),50271,1
36711,,318/1. (Sokak),50271,1
269040,,319. (Sokak),50271,1
446696,,319/1. (Sokak),50271,1
269041,,320. (Sokak),50271,1
709812,,320/1. (Sokak),50271,1
709219,,320/2. (Sokak),50271,1
709220,,320/3. (Sokak),50271,1
261324,,320/4. (Sokak),50271,1
269042,,321. (Sokak),50271,1
269043,,322. (Sokak),50271,1
695194,,322/1. (Sokak),50271,1
446697,,323. (Sokak),50271,1
813976,,323/1. (Sokak),50271,1
269044,,323/2. (Sokak),50271,1
472563,,323/3. (Sokak),50271,1
446698,,324. (Sokak),50271,1
269045,,324/1. (Sokak),50271,1
477716,,324/2. (Sokak),50271,1
477719,,324/3. (Sokak),50271,1
269046,,325. (Sokak),50271,1
472906,,325/1. (Sokak),50271,1
269047,,326. (Sokak),50271,1
446699,,326/1. (Sokak),50271,1
269048,,326/2. (Sokak),50271,1
481543,,326/3. (Sokak),50271,1
269049,,327. (Sokak),50271,1
446700,,327/1. (Sokak),50271,1
269050,,327/2. (Sokak),50271,1
269051,,327/3. (Sokak),50271,1
708460,,327/4. (Sokak),50271,1
708461,,327/5. (Sokak),50271,1
713457,,327/6. (Sokak),50271,1
472611,,327/7. (Sokak),50271,1
269052,,328. (Sokak),50271,1
446701,,328/1. (Sokak),50271,1
269053,,329. (Sokak),50271,1
269054,,329/1. (Sokak),50271,1
713005,,329/2. (Sokak),50271,1
713007,,329/3. (Sokak),50271,1
269055,,330. (Sokak),50271,1
713011,,330/1. (Sokak),50271,1
446702,,331. (Sokak),50271,1
707881,,331/1. (Sokak),50271,1
269056,,332. (Sokak),50271,1
269057,,333. (Sokak),50271,1
269058,,335. (Sokak),50271,1
710167,,335/1. (Sokak),50271,1
718295,,335/2. (Sokak),50271,1
269059,,336. (Sokak),50271,1
311660,,337. (Sokak),50271,1
672300,,338. (Sokak),50271,1
694329,,339. (Sokak),50271,1
782617,,340. (Sokak),50271,1
672299,,341. (Sokak),50271,1
694326,,343. (Sokak),50271,1
269060,,ANKARA (Cadde),50271,1
698445,,AŞIK VEYSEL (Cadde),50271,1
672298,,AŞIROĞLU (Cadde),50271,1
269061,,CENGİZ TOPEL (Cadde),50271,1
856773,,ÇELİKOĞLU (Cadde),50271,1
954956,,D-100 KARAYOLU (Cadde),50271,1
759938,,GÜNEY YANYOL (Cadde),50271,1
754547,,İSTANBUL (Cadde),50271,1
269062,,MEMIŞOĞLU (Cadde),50271,1
446688,,SAKARYA (Cadde),50271,1
844725,,TOPAL OSMAN AĞA (Cadde),50271,1
269021,,VATAN (Cadde),50271,1
446689,,YAŞAR DOĞU (Cadde),50271,1
269022,,YAVUZ SELİM (Cadde),50271,1
749263,,YENİ BAĞDAT (Cadde),50271,1
291411,,3501. (Sokak),645945,1
291412,,3510. (Sokak),645945,1
200405,,3511. (Sokak),645945,1
861101,,3515. (Sokak),645945,1
291413,,3520. (Sokak),645945,1
200404,,3525. (Sokak),645945,1
291404,,3540. (Sokak),645945,1
86284940,,3541. (Sokak),645945,1
765053,,3542. (Sokak),645945,1
765050,,3550. (Sokak),645945,1
765051,,3555. (Sokak),645945,1
291405,,3556. (Sokak),645945,1
765055,,3557. (Sokak),645945,1
291407,,3558. (Sokak),645945,1
845830120,,3559 (Sokak),645945,1
766790,,DURAKLI (Cadde),645945,1
89602247,,GÖLCÜK (Cadde),645945,1
765056,,KANCILI (Cadde),645945,1
809574,,ARAS (Cadde),200679,1
829276,,CEYHAN (Cadde),200679,1
1473237,,D-2028 (Köy Sokağı),200679,1
810299,,D-3001 (Sokak),200679,1
818214,,D-3002 (Sokak),200679,1
818215,,D-3003 (Sokak),200679,1
810306,,D-3004 (Sokak),200679,1
810307,,D-3005 (Sokak),200679,1
818216,,D-3006 (Sokak),200679,1
810308,,D-3007 (Sokak),200679,1
932407,,D-3008 (Sokak),200679,1
840790,,D-4001 (Sokak),200679,1
840791,,D-4002 (Sokak),200679,1
840792,,D-4003 (Sokak),200679,1
840793,,D-4004 (Sokak),200679,1
840794,,D-4005 (Sokak),200679,1
840796,,D-4006 (Sokak),200679,1
840795,,D-4007 (Sokak),200679,1
840797,,D-4008 (Sokak),200679,1
840798,,D-4009 (Sokak),200679,1
840800,,D-4010 (Sokak),200679,1
840801,,D-4011 (Sokak),200679,1
840804,,D-4012 (Sokak),200679,1
840805,,D-4013 (Sokak),200679,1
840806,,D-4014 (Sokak),200679,1
840807,,D-4015 (Sokak),200679,1
1493611,,D-4016 (Sokak),200679,1
840809,,D-4017 (Sokak),200679,1
840810,,D-4018 (Sokak),200679,1
840811,,D-4019 (Sokak),200679,1
819672,,D-5000 (Sokak),200679,1
819673,,D-5001 (Sokak),200679,1
809575,,D-5002 (Sokak),200679,1
819674,,D-5003 (Sokak),200679,1
819675,,D-5004 (Sokak),200679,1
843115,,D-5004/1 (Sokak),200679,1
829275,,ERGENE (Cadde),200679,1
1473255,,FIRAT (Cadde),200679,1
818212,,GEDİZ (Cadde),200679,1
829274,,KARASU (Cadde),200679,1
1473239,,KIZILIRMAK (Cadde),200679,1
810296,,MERİÇ (Cadde),200679,1
810298,,MUALLİMKÖY (Cadde),200679,1
829277,,SAKARYA (Cadde),200679,1
818211,,SEYHAN (Cadde),200679,1
868723,,3550. (Sokak),634386,1
883832520,,3556. (Sokak),634386,1
222631,,3701. (Sokak),634386,1
222632,,3703. (Sokak),634386,1
374469,,3704. (Sokak),634386,1
177057160,,3705. (Sokak),634386,1
86965787,,3706. (Sokak),634386,1
56610728,,3707. (Sokak),634386,1
72948896,,3708. (Sokak),634386,1
222633,,3709. (Sokak),634386,1
89366,,3720. (Sokak),634386,1
89367,,3721. (Sokak),634386,1
222629,,3722. (Sokak),634386,1
222635,,3730. (Sokak),634386,1
222636,,3731. (Sokak),634386,1
158143,,3740. (Sokak),634386,1
222628,,HATİPLER (Cadde),634386,1
222634,,KARGA PINARI (Cadde),634386,1
222637,,MELEMEZLİ (Cadde),634386,1
419371860,,TEPEMANAYIR (Cadde),634386,1
705213,,1941. (Sokak),50278,1
700468,,1942. (Sokak),50278,1
697430,,1942/1. (Sokak),50278,1
694371,,1943. (Sokak),50278,1
698707,,1944. (Sokak),50278,1
202299,,1944/1. (Sokak),50278,1
294428,,1945. (Sokak),50278,1
151754,,1946. (Sokak),50278,1
151747,,1947. (Sokak),50278,1
739618,,1948. (Sokak),50278,1
739619,,1948/1. (Sokak),50278,1
739620,,1949. (Sokak),50278,1
739621,,1949/2. (Sokak),50278,1
739622,,1950. (Sokak),50278,1
739623,,1951. (Sokak),50278,1
739624,,1951/1. (Sokak),50278,1
739625,,1952. (Sokak),50278,1
739627,,1952/1. (Sokak),50278,1
200071,,1953. (Sokak),50278,1
200072,,1954. (Sokak),50278,1
151770,,1955. (Sokak),50278,1
739628,,1955/1. (Sokak),50278,1
207720,,1956. (Sokak),50278,1
739630,,1958. (Sokak),50278,1
739631,,1959. (Sokak),50278,1
739632,,1959/1. (Sokak),50278,1
739633,,1959/2. (Sokak),50278,1
739634,,1960. (Sokak),50278,1
151773,,1961. (Sokak),50278,1
200074,,1961/1. (Sokak),50278,1
739637,,1962. (Sokak),50278,1
198506,,1963. (Sokak),50278,1
739638,,1964. (Sokak),50278,1
731148,,1965. (Sokak),50278,1
203737,,1966. (Sokak),50278,1
294430,,1967/1. (Sokak),50278,1
300607,,1968. (Sokak),50278,1
208050,,1968/1. (Sokak),50278,1
202282,,1968/2. (Sokak),50278,1
208051,,1969. (Sokak),50278,1
300615,,1969/1. (Sokak),50278,1
300616,,1970. (Sokak),50278,1
208052,,1970/1. (Sokak),50278,1
399127,,1971. (Sokak),50278,1
645655,,1972. (Sokak),50278,1
300617,,1972/1. (Sokak),50278,1
399128,,1973. (Sokak),50278,1
208053,,1974. (Sokak),50278,1
294433,,1975. (Sokak),50278,1
740476,,1976. (Sokak),50278,1
198508,,1976/1. (Sokak),50278,1
208054,,1977. (Sokak),50278,1
203738,,1978. (Sokak),50278,1
399130,,1979. (Sokak),50278,1
198510,,1980. (Sokak),50278,1
293177,,1981. (Sokak),50278,1
198511,,1982. (Sokak),50278,1
399131,,1983. (Sokak),50278,1
731149,,1984. (Sokak),50278,1
731150,,1985. (Sokak),50278,1
198512,,1986. (Sokak),50278,1
470594,,1986/1. (Sokak),50278,1
293179,,1986/2. (Sokak),50278,1
198513,,1986/3. (Sokak),50278,1
470597,,1986/4. (Sokak),50278,1
737929,,1986/5. (Sokak),50278,1
729511,,1989. (Sokak),50278,1
399195,,1990. (Sokak),50278,1
729512,,1991. (Sokak),50278,1
737930,,1991/1. (Sokak),50278,1
729513,,1991/2. (Sokak),50278,1
207726,,1992. (Sokak),50278,1
207729,,1994. (Sokak),50278,1
207730,,1995. (Sokak),50278,1
198516,,1996. (Sokak),50278,1
198517,,1997. (Sokak),50278,1
202557,,1999. (Sokak),50278,1
449163510,,938/1. (Sokak),50278,1
361540600,,938/2. (Sokak),50278,1
363806240,,960. (Sokak),50278,1
280705,,ARİFOĞLU (Cadde),50278,1
894854,,ATATÜRK(OSB'DE KALIYOR) (Bulvar),50278,1
952688,,CEMAL GÜRSEL (Cadde),50278,1
246587,,GENÇLİK (Cadde),50278,1
910873,,İBNİ SİNA (OSB'DE KALIYOR) (Cadde),50278,1
151816,,İBRAHİM AĞA (Cadde),50278,1
896017,,İHSAN DEDE(OSB'DE KALIYOR) (Cadde),50278,1
953148,,İZMİT-İSTANBUL OTOBAN (Bulvar),50278,1
399132,,ŞEHİT ARSLAN KULAKSIZ (Cadde),50278,1
700457,,ŞEHİT HAMDİ PEKÇALIŞKAN (Cadde),50278,1
739629,,ŞEHİTLER (Cadde),50278,1
831625,,TERMİNAL (Cadde),50278,1
356730,,2701. (Sokak),50291,1
356731,,2703. (Sokak),50291,1
356732,,2705. (Sokak),50291,1
356733,,2708. (Sokak),50291,1
310588,,2715. (Sokak),50291,1
310592,,2715/1. (Sokak),50291,1
357810,,2716. (Sokak),50291,1
224070,,2716/1. (Sokak),50291,1
357811,,2717. (Sokak),50291,1
217710,,2726. (Sokak),50291,1
357821,,2727. (Sokak),50291,1
357822,,2728. (Sokak),50291,1
217712,,2729. (Sokak),50291,1
21340,,2730. (Sokak),50291,1
21370,,2733. (Sokak),50291,1
213179,,2734. (Sokak),50291,1
310593,,2735. (Sokak),50291,1
213180,,2736. (Sokak),50291,1
217713,,2737. (Sokak),50291,1
437951,,2738. (Sokak),50291,1
420512,,2738/1. (Sokak),50291,1
437952,,2738/2. (Sokak),50291,1
420513,,2739. (Sokak),50291,1
833246,,2740. (Sokak),50291,1
437953,,2742. (Sokak),50291,1
437954,,2744. (Sokak),50291,1
357823,,2745. (Sokak),50291,1
591818000,,2746. (Cadde),50291,1
164656680,,2747. (Cadde),50291,1
420515,,2748. (Sokak),50291,1
357825,,2752. (Sokak),50291,1
213181,,2761. (Sokak),50291,1
420539,,2774. (Sokak),50291,1
196893,,2775. (Sokak),50291,1
433568,,2776. (Sokak),50291,1
438843,,2776/1. (Sokak),50291,1
438845,,2779. (Sokak),50291,1
272684,,2780. (Sokak),50291,1
272976,,2780/1. (Sokak),50291,1
272977,,2780/2. (Sokak),50291,1
272978,,2780/3. (Sokak),50291,1
272979,,2781. (Sokak),50291,1
404985,,2782. (Sokak),50291,1
404986,,2782/1. (Sokak),50291,1
272980,,2783. (Sokak),50291,1
435424,,2784. (Sokak),50291,1
435425,,2784/1. (Sokak),50291,1
272981,,2784/2. (Sokak),50291,1
753366,,2784/3. (Sokak),50291,1
272982,,2784/4. (Sokak),50291,1
758822,,2785. (Sokak),50291,1
758823,,2786. (Sokak),50291,1
272983,,2790. (Sokak),50291,1
272984,,2791. (Sokak),50291,1
272985,,2792. (Sokak),50291,1
758824,,2793. (Sokak),50291,1
758825,,2794. (Sokak),50291,1
272986,,2795. (Sokak),50291,1
847315,,4571. (Sokak),50291,1
953142,,İZMİT-İSTANBUL OTOBAN (Bulvar),50291,1
878083,,KIRAZPINAR EVLERI 5782 ADA (Küme Evler),50291,1
878084,,KIRAZPINAR EVLERI 5784 ADA (Küme Evler),50291,1
878085,,KİRAZPINAR EVLERİ 5785 ADA (Küme Evler),50291,1
875991,,KİRAZPINAR EVLERİ 5797 ADA (Küme Evler),50291,1
878082,,KİRAZPINAR EVLERİ 5800 ADA (Küme Evler),50291,1
877634,,KİRAZPINAR EVLERİ 5819 ADA (Küme Evler),50291,1
891930,,KİRAZPINAR EVLERİ 5876 ADA (Küme Evler),50291,1
437955,,ŞEHİT ALİ GAFFAR OKKAN (Cadde),50291,1
206601,,TAŞOCAKLARI (Küme Evler),50291,1
752686,,YENİ BAĞDAT (Cadde),50291,1
779183810,,3317. (Sokak),153882,1
765419,,4001. (Sokak),153882,1
22533236,,4002. (Sokak),153882,1
766104,,4003. (Sokak),153882,1
200518,,4004. (Sokak),153882,1
45042561,,4010. (Sokak),153882,1
200519,,4011. (Sokak),153882,1
200520,,4012. (Sokak),153882,1
766105,,4013. (Sokak),153882,1
78785,,4014. (Sokak),153882,1
78789,,4020. (Sokak),153882,1
78790,,4035. (Sokak),153882,1
200522,,4036. (Sokak),153882,1
78791,,4038. (Sokak),153882,1
78792,,4039. (Sokak),153882,1
766108,,4040. (Sokak),153882,1
78793,,4041. (Sokak),153882,1
766109,,4042. (Sokak),153882,1
200521,,4043. (Sokak),153882,1
766107,,4439. (Sokak),153882,1
958448,,4440. (Sokak),153882,1
78784,,ANKARA (Cadde),153882,1
200516,,ESKİ İSTANBUL (Cadde),153882,1
766102,,KABACA (Cadde),153882,1
870374,,MOLLA FENERİ (Cadde),153882,1
78783,,ŞEHİT ENGİN ERGÜN (Cadde),153882,1
268457,,1203. (Sokak),50283,1
362677,,601/1. (Sokak),50283,1
644141,,601/2. (Sokak),50283,1
642901,,601/3. (Sokak),50283,1
268458,,602. (Sokak),50283,1
268459,,603. (Sokak),50283,1
644147,,603/1. (Sokak),50283,1
268460,,604. (Sokak),50283,1
452362,,604/1. (Sokak),50283,1
362678,,605. (Sokak),50283,1
644131,,605/1. (Sokak),50283,1
266471,,606. (Sokak),50283,1
690474,,606/1. (Sokak),50283,1
450429,,607. (Sokak),50283,1
649224,,607/1. (Sokak),50283,1
266472,,608. (Sokak),50283,1
266473,,608/1. (Sokak),50283,1
450430,,608/2. (Sokak),50283,1
682948,,608/3. (Sokak),50283,1
685896,,608/4. (Sokak),50283,1
684736,,608/5. (Sokak),50283,1
266474,,609. (Sokak),50283,1
266475,,610. (Sokak),50283,1
266476,,611. (Sokak),50283,1
450431,,611/1. (Sokak),50283,1
176473,,611/2. (Sokak),50283,1
158693,,611/3. (Sokak),50283,1
664208,,611/4. (Sokak),50283,1
162251,,611/5. (Sokak),50283,1
161953,,611/6. (Sokak),50283,1
92346,,611/7. (Sokak),50283,1
266477,,612. (Sokak),50283,1
266478,,613. (Sokak),50283,1
450432,,614. (Sokak),50283,1
764466,,614/1. (Sokak),50283,1
693126,,614/2. (Sokak),50283,1
266479,,615. (Sokak),50283,1
688361,,615/1. (Sokak),50283,1
266480,,616. (Sokak),50283,1
266481,,616/1. (Sokak),50283,1
450433,,616/2. (Sokak),50283,1
266482,,616/3. (Sokak),50283,1
266483,,617. (Sokak),50283,1
688113,,617/1. (Sokak),50283,1
450434,,618. (Sokak),50283,1
645984,,618/1. (Sokak),50283,1
691233,,619. (Sokak),50283,1
266484,,619/1. (Sokak),50283,1
266485,,619/2. (Sokak),50283,1
450435,,619/3. (Sokak),50283,1
689947,,619/4. (Sokak),50283,1
686573,,619/5. (Sokak),50283,1
266486,,620. (Sokak),50283,1
266487,,620/1. (Sokak),50283,1
683705,,620/2. (Sokak),50283,1
680822,,620/3. (Sokak),50283,1
266488,,621. (Sokak),50283,1
645659,,621/1. (Sokak),50283,1
450436,,622. (Sokak),50283,1
266489,,623. (Sokak),50283,1
266490,,624. (Sokak),50283,1
450437,,624/1. (Sokak),50283,1
652276,,624/2. (Sokak),50283,1
647488,,624/3. (Sokak),50283,1
650939,,624/4. (Sokak),50283,1
276604,,624/5. (Sokak),50283,1
332723,,624/6. (Sokak),50283,1
266491,,625. (Sokak),50283,1
266492,,626. (Sokak),50283,1
680058,,626/1. (Sokak),50283,1
680040,,626/2. (Sokak),50283,1
680066,,626/3. (Sokak),50283,1
676232,,626/4. (Sokak),50283,1
676245,,626/5. (Sokak),50283,1
646873,,626/6. (Sokak),50283,1
649441,,626/7. (Sokak),50283,1
266493,,627. (Sokak),50283,1
648630,,627/1. (Sokak),50283,1
660113,,627/2. (Sokak),50283,1
351265,,627/3. (Sokak),50283,1
647480,,627/4. (Sokak),50283,1
690362,,627/5. (Sokak),50283,1
450438,,628. (Sokak),50283,1
266494,,629. (Sokak),50283,1
266495,,629/1. (Sokak),50283,1
651745,,629/2. (Sokak),50283,1
655919,,629/4. (Sokak),50283,1
450439,,630. (Sokak),50283,1
334300,,631. (Sokak),50283,1
409525,,632. (Sokak),50283,1
645998,,632/1. (Sokak),50283,1
266496,,633. (Sokak),50283,1
380940,,633/1. (Sokak),50283,1
85340,,633/2. (Sokak),50283,1
84954,,633/3. (Sokak),50283,1
266497,,634. (Sokak),50283,1
450440,,634/1. (Sokak),50283,1
648634,,634/2. (Sokak),50283,1
85344,,634/4. (Sokak),50283,1
380936,,634/5. (Sokak),50283,1
266498,,635. (Sokak),50283,1
658820,,635/1. (Sokak),50283,1
657083,,635/2. (Sokak),50283,1
266499,,636. (Sokak),50283,1
266500,,637. (Sokak),50283,1
450753,,638. (Sokak),50283,1
651824,,639. (Sokak),50283,1
649962,,639/1. (Sokak),50283,1
647486,,640. (Sokak),50283,1
266501,,641. (Sokak),50283,1
266502,,642. (Sokak),50283,1
450754,,643. (Sokak),50283,1
266503,,644. (Sokak),50283,1
698977,,644/1. (Sokak),50283,1
266504,,645. (Sokak),50283,1
266505,,646. (Sokak),50283,1
450755,,647. (Sokak),50283,1
266506,,648. (Sokak),50283,1
266507,,649. (Sokak),50283,1
701513,,649/1. (Sokak),50283,1
266508,,ATATÜRK (Cadde),50283,1
450756,,BAHARİYE (Cadde),50283,1
